"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"lysine demethylase 5B"|"KDM5B"|"gene with protein product"|"1q32.1"|605393
"myelin transcription factor 1 like"|"MYT1L"|"gene with protein product"|"2p25.3"|613084
"SET nuclear proto-oncogene"|"SET"|"gene with protein product"|"9q34.11"|600960
"calcium voltage-gated channel subunit alpha1 I"|"CACNA1I"|"gene with protein product"|"22q13.1"|608230
"RAB11A, member RAS oncogene family"|"RAB11A"|"gene with protein product"|"15q22.31"|605570
"protein phosphatase 3 catalytic subunit alpha"|"PPP3CA"|"gene with protein product"|"4q24"|114105
"potassium voltage-gated channel subfamily Q member 5"|"KCNQ5"|"gene with protein product"|"6q13"|607357
"zinc finger MYND-type containing 11"|"ZMYND11"|"gene with protein product"|"10p15.3"|608668
"delta like canonical Notch ligand 1"|"DLL1"|"gene with protein product"|"6q27"|606582
"TAO kinase 1"|"TAOK1"|"gene with protein product"|"17q11.2"|610266
"transient receptor potential cation channel subfamily M member 3"|"TRPM3"|"gene with protein product"|"9q21.12-q21.13"|608961
"neurobeachin"|"NBEA"|"gene with protein product"|"13q13.3"|604889
"capicua transcriptional repressor"|"CIC"|"gene with protein product"|"19q13.2"|612082
"casein kinase 2 beta"|"CSNK2B"|"gene with protein product"|"6p21.33"|115441
"ASH1 like histone lysine methyltransferase"|"ASH1L"|"gene with protein product"|"1q22"|607999
"cut like homeobox 1"|"CUX1"|"gene with protein product"|"7q22.1"|116896
"transcription factor 4"|"TCF4"|"gene with protein product"|"18q21.2"|602272
"synaptic Ras GTPase activating protein 1"|"SYNGAP1"|"gene with protein product"|"6p21.32"|603384
"kirre like nephrin family adhesion molecule 3"|"KIRREL3"|"gene with protein product"|"11q24.2"|607761
"dedicator of cytokinesis 8"|"DOCK8"|"gene with protein product"|"9p24.3"|611432
"methyl-CpG binding domain protein 5"|"MBD5"|"gene with protein product"|"2q23.2"|611472
"glutamate ionotropic receptor NMDA type subunit 2B"|"GRIN2B"|"gene with protein product"|"12p13.1"|138252
"cadherin 15"|"CDH15"|"gene with protein product"|"16q24.3"|114019
"kinesin family member 1A"|"KIF1A"|"gene with protein product"|"2q37.3"|601255
"glutamate ionotropic receptor NMDA type subunit 1"|"GRIN1"|"gene with protein product"|"9q34.3"|138249
"dynein cytoplasmic 1 heavy chain 1"|"DYNC1H1"|"gene with protein product"|"14q32.31"|600112
"calcium voltage-gated channel auxiliary subunit gamma 2"|"CACNG2"|"gene with protein product"|"22q12.3"|602911
"erythrocyte membrane protein band 4.1 like 1"|"EPB41L1"|"gene with protein product"|"20q11.23"|602879
"eukaryotic translation elongation factor 1 alpha 2"|"EEF1A2"|"gene with protein product"|"20q13.33"|602959
"calcium/calmodulin dependent protein kinase II alpha"|"CAMK2A"|"gene with protein product"|"5q32"|114078
"calcium/calmodulin dependent protein kinase II beta"|"CAMK2B"|"gene with protein product"|"7p13"|607707
"dysferlin"|"DYSF"|"gene with protein product"|"2p13.2"|603009
"sarcoglycan alpha"|"SGCA"|"gene with protein product"|"17q21.33"|600119
"orthodenticle homeobox 2"|"OTX2"|"gene with protein product"|"14q22.3"|600037
"phosphorylase kinase regulatory subunit alpha 1"|"PHKA1"|"gene with protein product"|"Xq13.1"|311870
"phosphorylase kinase catalytic subunit gamma 1"|"PHKG1"|"gene with protein product"|"7p11.2"|172470
"LDL receptor related protein 5"|"LRP5"|"gene with protein product"|"11q13.2"|603506
"fructose-bisphosphatase 1"|"FBP1"|"gene with protein product"|"9q22.32"|611570
"cytochrome P450 family 19 subfamily A member 1"|"CYP19A1"|"gene with protein product"|"15q21.2"|107910
"RAB33B, member RAS oncogene family"|"RAB33B"|"gene with protein product"|"4q31.1"|605950
"ERCC excision repair 6, chromatin remodeling factor"|"ERCC6"|"gene with protein product"|"10q11.23"|609413
"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"|"ERCC8"|"gene with protein product"|"5q12.1"|609412
"UV stimulated scaffold protein A"|"UVSSA"|"gene with protein product"|"4p16.3"|614632
"NLR family pyrin domain containing 1"|"NLRP1"|"gene with protein product"|"17p13"|606636
"forkhead box D3"|"FOXD3"|"gene with protein product"|"1p31.3"|611539
"RAN binding protein 2"|"RANBP2"|"gene with protein product"|"2q13"|601181
"cysteinyl-tRNA synthetase 1"|"CARS1"|"gene with protein product"|"11p15.4"|123859
"tropomyosin 4"|"TPM4"|"gene with protein product"|"19p13.12-p13.11"|600317
"Fas cell surface death receptor"|"FAS"|"gene with protein product"|"10q23.31"|134637
"UBA domain containing 2"|"UBAC2"|"gene with protein product"|"13q32.3"|
"MEFV innate immuity regulator, pyrin"|"MEFV"|"gene with protein product"|"16p13.3"|608107
"interleukin 12A"|"IL12A"|"gene with protein product"|"3q25.33"|161560
"toll like receptor 4"|"TLR4"|"gene with protein product"|"9q33.1"|603030
"C-C motif chemokine receptor 1"|"CCR1"|"gene with protein product"|"3p21.31"|601159
"killer cell lectin like receptor C4"|"KLRC4"|"gene with protein product"|"12p13.2"|602893
"IL12A antisense RNA 1"|"IL12A-AS1"|"Non-coding RNA"|"3q25.33"|
"endoplasmic reticulum aminopeptidase 1"|"ERAP1"|"gene with protein product"|"5q15"|606832
"interferon gamma receptor 1"|"IFNGR1"|"gene with protein product"|"6q23.3"|107470
"phenylalanyl-tRNA synthetase subunit beta"|"FARSB"|"gene with protein product"|"2q36.1"|609690
"small nucleolar RNA, C/D box 115 cluster"|"SNORD115@"|"Non-coding RNA"|"15q11.2"|609837
"small nuclear ribonucleoprotein polypeptide N"|"SNRPN"|"gene with protein product"|"15q11.2"|182279
"MAGE family member L2"|"MAGEL2"|"gene with protein product"|"15q11.2"|605283
"necdin, MAGE family member"|"NDN"|"gene with protein product"|"15q11.2"|602117
"OCA2 melanosomal transmembrane protein"|"OCA2"|"gene with protein product"|"15q12-q13.1"|611409
"small nucleolar RNA, C/D box 116 cluster"|"SNORD116@"|"Non-coding RNA"|"15q11.2"|605436
"ATP binding cassette subfamily D member 1"|"ABCD1"|"gene with protein product"|"Xq28"|300371
"erb-b2 receptor tyrosine kinase 2"|"ERBB2"|"gene with protein product"|"17q12"|164870
"erb-b2 receptor tyrosine kinase 3"|"ERBB3"|"gene with protein product"|"12q13.2"|190151
"smoothened, frizzled class receptor"|"SMO"|"gene with protein product"|"7q32.1"|601500
"ret proto-oncogene"|"RET"|"gene with protein product"|"10q11.21"|164761
"endothelin converting enzyme 1"|"ECE1"|"gene with protein product"|"1p36.12"|600423
"endothelin 3"|"EDN3"|"gene with protein product"|"20q13.32"|131242
"glial cell derived neurotrophic factor"|"GDNF"|"gene with protein product"|"5p13.2"|600837
"neurturin"|"NRTN"|"gene with protein product"|"19p13.3"|602018
"semaphorin 3C"|"SEMA3C"|"gene with protein product"|"7q21.11"|602645
"semaphorin 3D"|"SEMA3D"|"gene with protein product"|"7q21.11"|609907
"sterol regulatory element binding transcription factor 1"|"SREBF1"|"gene with protein product"|"17p11.2"|184756
"calcium voltage-gated channel subunit alpha1 F"|"CACNA1F"|"gene with protein product"|"Xp11.23"|300110
"glucose-6-phosphate dehydrogenase"|"G6PD"|"gene with protein product"|"Xq28"|305900
"purine nucleoside phosphorylase"|"PNP"|"gene with protein product"|"14q11.2"|164050
"poly(A) binding protein nuclear 1"|"PABPN1"|"gene with protein product"|"14q11.2"|602279
"dynein axonemal heavy chain 1"|"DNAH1"|"gene with protein product"|"3p21.1"|603332
"tetratricopeptide repeat domain 12"|"TTC12"|"gene with protein product"|"11q23.2"|610732
"NIMA related kinase 10"|"NEK10"|"gene with protein product"|"3p24.1"|618726
"PIH1 domain containing 3"|"DNAAF6"|"gene with protein product"|"Xq22.3"|300933
"cilia and flagella associated protein 221"|"CFAP221"|"gene with protein product"|"2q14.2"|618704
"sperm flagellar 2"|"SPEF2"|"gene with protein product"|"5p13.2"|610172
"DnaJ heat shock protein family (Hsp40) member B13"|"DNAJB13"|"gene with protein product"|"11q13.4"|610263
"outer dynein arm docking complex subunit 4"|"ODAD4"|"gene with protein product"|"17q21.2"|617095
"multiciliate differentiation and DNA synthesis associated cell cycle protein"|"MCIDAS"|"gene with protein product"|"5q11.2"|614086
"growth arrest specific 2 like 2"|"GAS2L2"|"gene with protein product"|"17q12"|611398
"OFD1 centriole and centriolar satellite protein"|"OFD1"|"gene with protein product"|"Xp22.2"|300170
"dynein axonemal heavy chain 11"|"DNAH11"|"gene with protein product"|"7p15.3"|603339
"dynein axonemal heavy chain 5"|"DNAH5"|"gene with protein product"|"5p15.2"|603335
"dynein axonemal intermediate chain 1"|"DNAI1"|"gene with protein product"|"9p13.3"|604366
"NME/NM23 family member 8"|"NME8"|"gene with protein product"|"7p14.1"|607421
"dynein axonemal intermediate chain 2"|"DNAI2"|"gene with protein product"|"17q25.1"|605483
"dynein axonemal assembly factor 2"|"DNAAF2"|"gene with protein product"|"14q21.3"|612517
"radial spoke head component 9"|"RSPH9"|"gene with protein product"|"6p21.1"|612648
"radial spoke head component 4A"|"RSPH4A"|"gene with protein product"|"6q22.1"|612647
"dynein axonemal assembly factor 1"|"DNAAF1"|"gene with protein product"|"16q24.1"|613190
"coiled-coil domain containing 39"|"CCDC39"|"gene with protein product"|"3q26.33"|613798
"coiled-coil domain containing 40"|"CCDC40"|"gene with protein product"|"17q25.3"|613799
"dynein axonemal light chain 1"|"DNAL1"|"gene with protein product"|"14q24.3"|610062
"dynein axonemal assembly factor 3"|"DNAAF3"|"gene with protein product"|"19q13.42"|614566
"coiled-coil domain containing 103"|"CCDC103"|"gene with protein product"|"17q21.31"|614677
"dynein axonemal assembly factor 5"|"DNAAF5"|"gene with protein product"|"7p22.3"|614864
"HYDIN axonemal central pair apparatus protein"|"HYDIN"|"gene with protein product"|"16q22.2"|610812
"dynein axonemal assembly factor 11"|"DNAAF11"|"gene with protein product"|"8q24.22"|614930
"outer dynein arm docking complex subunit 1"|"ODAD1"|"gene with protein product"|"19q13.33"|615038
"dynein regulatory complex subunit 1"|"DRC1"|"gene with protein product"|"2p23.3"|615288
"outer dynein arm docking complex subunit 2"|"ODAD2"|"gene with protein product"|"10p12.1"|615408
"dynein axonemal assembly factor 4"|"DNAAF4"|"gene with protein product"|"15q21.3"|608706
"radial spoke head component 1"|"RSPH1"|"gene with protein product"|"21q22.3"|609314
"zinc finger MYND-type containing 10"|"ZMYND10"|"gene with protein product"|"3p21.31"|607070
"cilia and flagella associated protein 298"|"CFAP298"|"gene with protein product"|"21q22.11"|615494
"coiled-coil domain containing 65"|"CCDC65"|"gene with protein product"|"12q13.12"|611088
"sperm associated antigen 1"|"SPAG1"|"gene with protein product"|"8q22.2"|603395
"cyclin O"|"CCNO"|"gene with protein product"|"5q11.2"|607752
"outer dynein arm docking complex subunit 3"|"ODAD3"|"gene with protein product"|"19p13.2"|615956
"radial spoke head 3"|"RSPH3"|"gene with protein product"|"6q25.3"|615876
"growth arrest specific 8"|"GAS8"|"gene with protein product"|"16q24.3"|605178
"retinitis pigmentosa GTPase regulator"|"RPGR"|"gene with protein product"|"Xp11.4"|312610
"serine/threonine kinase 36"|"STK36"|"gene with protein product"|"2q35"|607652
"forkhead box J1"|"FOXJ1"|"gene with protein product"|"17q25.1"|602291
"dynein axonemal heavy chain 9"|"DNAH9"|"gene with protein product"|"17p12"|603330
"leucine rich repeat containing 56"|"LRRC56"|"gene with protein product"|"11p15.5"|618227
"cilia and flagella associated protein 300"|"CFAP300"|"gene with protein product"|"11q22.1"|618058
"ADAM metallopeptidase domain 10"|"ADAM10"|"gene with protein product"|"15q21.3"|602192
"interferon gamma"|"IFNG"|"gene with protein product"|"12q15"|147570
"TSC complex subunit 1"|"TSC1"|"gene with protein product"|"9q34"|605284
"TSC complex subunit 2"|"TSC2"|"gene with protein product"|"16p13.3"|191092
"S-phase cyclin A associated protein in the ER"|"SCAPER"|"gene with protein product"|"15q24.3"|611611
"intraflagellar transport 88"|"IFT88"|"gene with protein product"|"13q12.11"|600595
"receptor accessory protein 6"|"REEP6"|"gene with protein product"|"19p13.3"|609346
"Rho/Rac guanine nucleotide exchange factor 18"|"ARHGEF18"|"gene with protein product"|"19p13.2"|616432
"KIAA1549"|"KIAA1549"|"gene with protein product"|"7q34"|613344
"Abelson helper integration site 1"|"AHI1"|"gene with protein product"|"6q23.3"|608894
"AGBL carboxypeptidase 5"|"AGBL5"|"gene with protein product"|"2p23.3"|615900
"photoreceptor disc component"|"PRCD"|"gene with protein product"|"17q25.1"|610598
"pre-mRNA processing factor 3"|"PRPF3"|"gene with protein product"|"1q21.2"|607301
"pre-mRNA processing factor 31"|"PRPF31"|"gene with protein product"|"19q13.42"|606419
"pre-mRNA processing factor 8"|"PRPF8"|"gene with protein product"|"17p13.3"|607300
"retinol dehydrogenase 12"|"RDH12"|"gene with protein product"|"14q24.1"|608830
"retinal G protein coupled receptor"|"RGR"|"gene with protein product"|"10q23.1"|600342
"rhodopsin"|"RHO"|"gene with protein product"|"3q22.1"|180380
"retinaldehyde binding protein 1"|"RLBP1"|"gene with protein product"|"15q26.1"|180090
"retinal outer segment membrane protein 1"|"ROM1"|"gene with protein product"|"11q12.3"|180721
"RP1 axonemal microtubule associated"|"RP1"|"gene with protein product"|"8q11.23-q12.1"|603937
"RP2 activator of ARL3 GTPase"|"RP2"|"gene with protein product"|"Xp11.3"|300757
"RP9 pre-mRNA splicing factor"|"RP9"|"gene with protein product"|"7p14.3"|607331
"retinoid isomerohydrolase RPE65"|"RPE65"|"gene with protein product"|"1p31.3"|180069
"S-antigen visual arrestin"|"SAG"|"gene with protein product"|"2q37.1"|181031
"Bardet-Biedl syndrome 2"|"BBS2"|"gene with protein product"|"16q13"|606151
"bestrophin 1"|"BEST1"|"gene with protein product"|"11q12.3"|607854
"carbonic anhydrase 4"|"CA4"|"gene with protein product"|"17q23.1"|114760
"ceramide kinase like"|"CERKL"|"gene with protein product"|"2q31.3"|608381
"tetratricopeptide repeat domain 8"|"TTC8"|"gene with protein product"|"14q31.3"|608132
"TUB like protein 1"|"TULP1"|"gene with protein product"|"6p21.31"|602280
"usherin"|"USH2A"|"gene with protein product"|"1q41"|608400
"clarin 1"|"CLRN1"|"gene with protein product"|"3q25.1"|606397
"cyclic nucleotide gated channel subunit alpha 1"|"CNGA1"|"gene with protein product"|"4p12"|123825
"crumbs cell polarity complex component 1"|"CRB1"|"gene with protein product"|"1q31.3"|604210
"cone-rod homeobox"|"CRX"|"gene with protein product"|"19q13.33"|602225
"ADP ribosylation factor like GTPase 6"|"ARL6"|"gene with protein product"|"3q11.2"|608845
"fascin actin-bundling protein 2, retinal"|"FSCN2"|"gene with protein product"|"17q25.3"|607643
"heparan-alpha-glucosaminide N-acetyltransferase"|"HGSNAT"|"gene with protein product"|"8p11.21-p11.1"|610453
"inosine monophosphate dehydrogenase 1"|"IMPDH1"|"gene with protein product"|"7q32.1"|146690
"MER proto-oncogene, tyrosine kinase"|"MERTK"|"gene with protein product"|"2q13"|604705
"nuclear receptor subfamily 2 group E member 3"|"NR2E3"|"gene with protein product"|"15q23"|604485
"neural retina leucine zipper"|"NRL"|"gene with protein product"|"14q11.2-q12"|162080
"phosphodiesterase 6A"|"PDE6A"|"gene with protein product"|"5q32"|180071
"phosphodiesterase 6B"|"PDE6B"|"gene with protein product"|"4p16.3"|180072
"semaphorin 4A"|"SEMA4A"|"gene with protein product"|"1q22"|607292
"cyclic nucleotide gated channel subunit beta 1"|"CNGB1"|"gene with protein product"|"16q21"|600724
"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase"|"TOPORS"|"gene with protein product"|"9p21.1"|609507
"lecithin retinol acyltransferase"|"LRAT"|"gene with protein product"|"4q32.1"|604863
"eyes shut homolog"|"EYS"|"gene with protein product"|"6q12"|612424
"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta"|"IDH3B"|"gene with protein product"|"20p13"|604526
"spermatogenesis associated 7"|"SPATA7"|"gene with protein product"|"14q31.3"|609868
"guanylate cyclase activator 1B"|"GUCA1B"|"gene with protein product"|"6p21.1"|602275
"kelch like family member 7"|"KLHL7"|"gene with protein product"|"7p15.3"|611119
"small nuclear ribonucleoprotein U5 subunit 200"|"SNRNP200"|"gene with protein product"|"2q11.2"|601664
"photoreceptor cilium actin regulator"|"PCARE"|"gene with protein product"|"2p23.2"|613425
"phosphodiesterase 6G"|"PDE6G"|"gene with protein product"|"17q25.3"|180073
"interphotoreceptor matrix proteoglycan 2"|"IMPG2"|"gene with protein product"|"3q12.3"|607056
"FAM161 centrosomal protein A"|"FAM161A"|"gene with protein product"|"2p15"|613596
"zinc finger protein 513"|"ZNF513"|"gene with protein product"|"2p23.3"|613598
"cadherin related family member 1"|"CDHR1"|"gene with protein product"|"10q23.1"|609502
"dehydrodolichyl diphosphate synthase subunit"|"DHDDS"|"gene with protein product"|"1p36.11"|608172
"pre-mRNA processing factor 6"|"PRPF6"|"gene with protein product"|"20q13.33"|613979
"male germ cell associated kinase"|"MAK"|"gene with protein product"|"6p24.2"|154235
"retinol binding protein 3"|"RBP3"|"gene with protein product"|"10q11.22"|180290
"cilia and flagella associated protein 418"|"CFAP418"|"gene with protein product"|"8q22.1"|614477
"zinc finger protein 408"|"ZNF408"|"gene with protein product"|"11p11.2"|616454
"ADP ribosylation factor like GTPase 2 binding protein"|"ARL2BP"|"gene with protein product"|"16q13"|615407
"NIMA related kinase 2"|"NEK2"|"gene with protein product"|"1q32.3"|604043
"TUB bipartite transcription factor"|"TUB"|"gene with protein product"|"11p15.4"|601197
"kizuna centrosomal protein"|"KIZ"|"gene with protein product"|"20p11.23"|615757
"solute carrier family 7 member 14"|"SLC7A14"|"gene with protein product"|"3q26.2"|615720
"pre-mRNA processing factor 4"|"PRPF4"|"gene with protein product"|"9q32"|607795
"RP1 like 1"|"RP1L1"|"gene with protein product"|"8p23.1"|608581
"aryl hydrocarbon receptor"|"AHR"|"gene with protein product"|"7p21.1"|600253
"interphotoreceptor matrix proteoglycan 1"|"IMPG1"|"gene with protein product"|"6q14.1"|602870
